"name","first_release","versions","archived","index"
"GLMMGibbs","2001-02-23 17:46:00",2,TRUE,117
"CoCoAn","2001-02-27 09:45:00",2,TRUE,118
"bqtl","2001-03-02 08:07:00",30,TRUE,119
"meanscore","2001-03-04 17:23:00",6,TRUE,120
"twostage","2001-03-04 17:23:00",6,TRUE,121
"cmprsk","2001-03-12 18:35:00",21,TRUE,122
"SuppDists","2001-04-11 17:31:00",23,TRUE,123
"cramer","2001-04-12 16:18:00",6,TRUE,124
"blighty","2001-04-18 20:37:00",9,TRUE,125
"PTAk","2001-04-19 16:18:00",28,TRUE,126
"sma","2001-04-23 06:12:00",9,TRUE,127
"maxstat","2001-04-23 14:11:00",44,TRUE,128
"GeneSOM","2001-04-29 07:33:00",6,TRUE,129
"car","2001-05-01 08:36:00",83,TRUE,130
"sem","2001-05-01 08:36:00",46,TRUE,131
"RArcInfo","2001-05-03 15:55:00",19,TRUE,132
"event.chart","2001-05-05 23:23:00",2,TRUE,133
"zmatrix","2001-05-14 11:35:00",1,TRUE,134
"Oarray","2001-05-15 14:59:00",10,TRUE,135
"nlrq","2001-05-16 05:42:00",6,TRUE,136
"strucchange","2001-05-17 15:20:00",44,TRUE,137
"grid","2001-05-18 06:51:00",10,TRUE,138
"lattice","2001-05-18 06:51:00",135,TRUE,139
"muhaz","2001-05-18 17:34:00",11,TRUE,140
"lpridge","2001-05-18 17:36:00",9,TRUE,141
"AnalyzeIO","2001-05-18 17:42:00",1,TRUE,142
"permax","2001-05-21 15:43:00",5,TRUE,143
"lgtdl","2001-05-21 15:50:00",8,TRUE,144
"panel","2001-05-21 16:01:00",8,TRUE,145
"pinktoe","2001-05-25 17:57:00",3,TRUE,146
"gregmisc","2001-05-27 08:07:00",32,TRUE,147
"geoR","2001-05-28 06:22:00",77,TRUE,148
"sna","2001-05-28 06:22:00",25,TRUE,149
"RandomFields","2001-06-01 13:03:00",99,TRUE,150
"lokern","2001-06-13 17:47:00",15,TRUE,151
